id,created_at,text
366398267250065408,2013-08-11 03:18:48,RT @ThatShaggyMatt: Attention Toledoans: Just avoid Airport between Reynolds and Byrne. Apparently it's a war zone. @ToledoScanner
366398168411275264,2013-08-11 03:18:25,"TPD - crew had group that fired shots, country creek ln and wenz rd, running south towards airport hwy, crews requested code 3"
366397952761151489,2013-08-11 03:17:33,"TPD - 5 sector crew needs assistance, shots fired, wenz rd and airport hwy, group running"
366397576464961537,2013-08-11 03:16:04,"TPD - assault, 400 block hiett ave"
366397078257143808,2013-08-11 03:14:05,"TPD - general broadcasts, gunshots heard, glenwood ave and virginia st, 2200 block robinwood ave and w bancroft st"
366396187923845122,2013-08-11 03:10:33,"TPD - one black female with blonde weave from that vehicle is now detained, air back open"
366395885254492160,2013-08-11 03:09:21,"TPD - has the green explorer stopped now brookview dr, possible female occupant with a gun"
366395362845540352,2013-08-11 03:07:16,"TPD - report of a black female, blonde weave, in green ford explorer, with a gun, threatened caller, airport hwy and wenz rd area"
366393993631760384,2013-08-11 03:01:50,"RT @ThatShaggyMatt: . @ToledoScanner You know it's bad when the cops just lump a call into ""all kinds of things""."
366393079600652288,2013-08-11 02:58:12,"TPD - requesting medical for an injured person, 4000 block airport hwy from the toledo party hall event"
366392921760604160,2013-08-11 02:57:34,TPD - crews requesting a wagon crew to toledo party hall to help with folks that have been rounded up for transport
366392744911978496,2013-08-11 02:56:52,"TPD - people going door to door at apartments 1100 block brookview dr, trying to get somebody to let them in"
366392410659504128,2013-08-11 02:55:32,TPD - crew running one down at airport hwy and brookview ave
366392230480576513,2013-08-11 02:54:49,"TPD - caller reporting a group at his door, 1100 block brookview ave, banging trying to get inside"
366391934547279872,2013-08-11 02:53:39,TPD - additional crews being pulled off calls to go code 3 to 4000 block airport hwy near toledo party hall for all kinds of things going on
366391347403431938,2013-08-11 02:51:19,TPD - crews going code 3 for officer assist at 1100 block brookview dr across from toledo party hall
366390759471054849,2013-08-11 02:48:58,"TPD - fight, 1500 block bradmore dr"
366390616021680128,2013-08-11 02:48:24,"@el_chapoJerold @ImJGrantBro not sure, sounded like crews were cancelled or slowed down, did not hear further"
366390207097995265,2013-08-11 02:46:47,"TPD - units requesting more crews in the parking lot of the toledo party hall, working to close down remainder of the event"
366388018354991104,2013-08-11 02:38:05,TPD - crews requested code 3 to 1100 block norwood ave for a call
366387628016275457,2013-08-11 02:36:32,"TPD - crews reporting a person who was kicked out of toledo party hall, went to vehicle, fired off one round into the air, left area"
366387367239622656,2013-08-11 02:35:30,"TPD - crews have male in custody from 1800 block mansfield rd earlier pursuit, had ducked into a house"
366387177833234432,2013-08-11 02:34:45,"TPD - crews to the toledo party hall slowing down to code 2 response, most people breaking up"
366386597232517120,2013-08-11 02:32:26,"TPD - code 3 shots fired, 4052 airport hwy at the toledo party hall, large fight, shots fired, people fleeing"
366386271892934656,2013-08-11 02:31:09,"TPD - animal complaint, 1600 block n erie st, black male with a pit bull attacked caller's dog, made threats"
366384714828881921,2013-08-11 02:24:57,#ScannerOn - follow along on twitter and listen live at http://t.co/eNrnJb8YIa http://t.co/FKFvhXgtMj
366384264557760512,2013-08-11 02:23:10,"TPD - foot pursuit, mansfield rd and upton ave"
366369062156107776,2013-08-11 01:22:45,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @FLAGscanner @KrstyDrunky @MILLERBOATLINE
366006670368837632,2013-08-10 01:22:44,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @toledotalk @ToledoOHNews @the22ndfloor
365644294356353024,2013-08-09 01:22:47,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @toledoohjournal @CrimeInTheD @PoliceClips
365281897384910848,2013-08-08 01:22:45,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @TheRenhillGroup @steveslivka @KrstyDrunky
364919511025065984,2013-08-07 01:22:45,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @ScannerAlerts @kevinvasquez333 @__ItsDena
364557124229414912,2013-08-06 01:22:46,Toledo Scanner Daily is out! http://t.co/xX5qVs5jhI ▸ Top stories today via @lindarutter @Kiarah @LargeRichard
364227004536602625,2013-08-05 03:30:59,RT @kristenstaller: @Brock_A_Fella33 @ToledoScanner shark week has got some people feeling viscous
364226974467633152,2013-08-05 03:30:52,RT @Brock_A_Fella33: My Lord the criminals of this city are just going off tonight -- @ToledoScanner can't get these tweets out fast enough…
364221386631282688,2013-08-05 03:08:40,"TPD - code 3 weapons call, 5700 block dorr st, black female threatening another, pulled out a flip knife on another female"
364219882893623296,2013-08-05 03:02:41,"TPD - crews have possible robbery suspects, elm st and n summit st"
364219445691944961,2013-08-05 03:00:57,"TPD - gunshots heard, 700 block prouty ave"
364219025888260097,2013-08-05 02:59:17,"TPD - robbery, front st and main st, male reports being robbed at gunpoint by 2 black males, waiting for police at the mcdonalds"
364217789088677890,2013-08-05 02:54:22,"TPD - code 3 weapons call, courtland ave and walbridge ave, hispanic male and female arguing, have pulled out guns"
364214551102763010,2013-08-05 02:41:30,"TPD/TFD - code 3 person down, bush st and n summit st, male slumped over the steering wheel in a minivan, with engine 3"
364212520015249411,2013-08-05 02:33:26,"TPD - male chasing another male, one has knife, eastgate rd and key st"
364212034201595906,2013-08-05 02:31:30,"TPD - assault, 4000 block ruskin dr near dickens dr"
364211042819112961,2013-08-05 02:27:33,"TPD - gunshots heard, 5400 block n detroit ave"
364209140584816640,2013-08-05 02:20:00,"TPD - crews code 3 to mott ave and worthington st, report of a person being attacked by a dog, trying to fend off with a tazer"
364206449066389505,2013-08-05 02:09:18,"TPD - check the safety, 3900 block buell ave near w sylvania ave, female heard outside screaming for help"
364204514506571776,2013-08-05 02:01:37,"TPD - reported red taurus car fled from location, person down on the ground"
364204402376048641,2013-08-05 02:01:10,"TPD/TFD/EMS - code 3 person shot, city park ave and dorr st, report of a person shot, with life squad 1"
364203719086186499,2013-08-05 01:58:27,TPD - special enforcement crews requesting additional officers to assist with a larger crowd at vance st and ewing st
364197671294074880,2013-08-05 01:34:25,"TPD - crews on foot pursuit, douglas rd and w laskey rd, chasing a black male hopping fences through backyards in the area"
364196241883672576,2013-08-05 01:28:45,"TPD/TFD/EMS - code 3 person shot, belmont ave and hoag st, with life squad 1"
364194719485939712,2013-08-05 01:22:42,Toledo Scanner Daily is out! http://t.co/xX5qVs5jhI ▸ Top stories today via @ToledoPolitics @KrstyDrunky @jackhauman
363832341359099904,2013-08-04 01:22:44,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @__ItsDena @BrodieMack1117 @jason_hickey
363830047141920768,2013-08-04 01:13:37,"TPD/TFD - code 3 person shot, 1000 block bronson ave near b st, person shot in the arm, with squad 7"
363469966130937857,2013-08-03 01:22:47,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @Toledo_Buzz @ToledoFreePress @Toledo_Riots
363107575552045056,2013-08-02 01:22:46,Toledo Scanner Daily is out! http://t.co/xX5qVs5jhI ▸ Top stories today via @georgio622 @sentineltribune @E_SGVScanner
362745178525663232,2013-08-01 01:22:44,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @Mar_Sing @OhioDanielle @Toledo_Buzz
362398710052823040,2013-07-31 02:26:00,"wood county sheriff deputies report having a suspect in custody, now working to slowly clear a house"
362398536391852032,2013-07-31 02:25:18,"RT @BG24News: BREAKING: Wood County Police pursuing barricaded man in Portage, dispatch says. More to come."
362382799698792450,2013-07-31 01:22:46,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @Getoffmycloud71 @ChelseaGerken @BreakingNewzman
362067684868894720,2013-07-30 04:30:37,"TPD - crews have a car they were chasing, parkside blvd and evesham ave, two bailed and running in the neighborhood"
362064627691028480,2013-07-30 04:18:28,"TPD - disorder, 2200 block ottawa river rd, male and his 26 year old daughter who is paranoid schizo, keeps hitting him with a broom"
362062393666310144,2013-07-30 04:09:36,"sylvania fire - possibly occupied structure fire, 4400 block n holland sylvania rd, with life squad 6 and mutual aid springfield twp fire"
362062098638962688,2013-07-30 04:08:25,"TPD - code 3 shots fired, 500 block austin st, caller saw the flashes"
362061700075225089,2013-07-30 04:06:50,"TPD - disorder, 2100 block consaul st at birmingham terrace, male throwing things at somebody's window"
362058905515331585,2013-07-30 03:55:44,"TPD - caller at e oakland st reports having bullet hole in house, was reported as having around 10 gunshots from a few males that ran"
362057652802560000,2013-07-30 03:50:45,TPD - also getting a code 3 shots fired from e oakland st and warsaw st
362057055927926784,2013-07-30 03:48:23,"TPD - code 3 breaking &amp; entering, 3200 block warsaw st, caller reports somebody trying to break into the back of the house"
362050035816480768,2013-07-30 03:20:29,"TPD/TFD/EMS - code 3 overdose, 2300 block n erie st near ohio st, with engine 3 and life squad 1"
362046885894168576,2013-07-30 03:07:58,"TPD - foot pursuit, 4 sector crews chasing one in the alley around e broadway st and rogers st"
362033570795102208,2013-07-30 02:15:04,"TPD - code 3 weapons call, 1000 block tecumseh st, male and female arguing, the male has a knife"
362032604591046656,2013-07-30 02:11:13,RT @ToledoNewsNow: BREAKING: Police are investigating a shooting that occurred tonight in north Toledo. http://t.co/Bb1aQ3BLXI
362020408268042240,2013-07-30 01:22:46,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @mcfw @taylordungjen @13abc
361658012353560577,2013-07-29 01:22:44,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @georgio622 @Bsyroka_Numbers @jay_skebba
361333672961515520,2013-07-28 03:53:55,"TPD - domestic, 2100 block walnut st"
361331509971533824,2013-07-28 03:45:19,"TPD - fight, 2100 block rockspring rd"
361331041895596036,2013-07-28 03:43:28,"TPD - assault, 800 block Tecumseh"
361330545533255681,2013-07-28 03:41:29,"TPD - menacing, 700 block Utica, black female with a colorful top threatening the caller"
361329080269934592,2013-07-28 03:35:40,"TPD/TFD - code 3 hit skip accident, w laskey rd and Roland rd, van versus motorcycle, fire also enroute, white van fled"
361295632251633665,2013-07-28 01:22:45,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @NHDaveH @keithrgodfrey @TheRealMEkO
360989792042889216,2013-07-27 05:07:27,"TPD - accident, 5300 block angola rd, car went through a fence"
360987700884549633,2013-07-27 04:59:09,"TPD/TFD - code 3 person down, 4100 block monroe st, male down in the parking lot"
360987085508837376,2013-07-27 04:56:42,"TPD/TFD - injuries from a fight, 600 block locust st"
360982921995223040,2013-07-27 04:40:10,"TPD - code 3 shots fired, 600 block indiana ave"
360982782836613121,2013-07-27 04:39:36,"TPD - fight, asbury park, asbury dr and dryden dr"
360982269634166784,2013-07-27 04:37:34,"TPD - fight, 600 block parker ave near idaho st, male and female fighting"
360980682572435456,2013-07-27 04:31:16,"TPD - code 3 fight, belmont ave and city park ave, 4-5 people on 1 other, person down on the ground, medical also enroute"
360980026516193280,2013-07-27 04:28:39,"TPD/TFD/EMS - code 3 person stabbed, 6400 block hill ave near s holland sylvania rd, with engine 14 and life squad 10"
360979284170518528,2013-07-27 04:25:42,"TPD/TFD/EMS - code 3 stabbing, walk in person stabbed at station 16, 1301 dorr st, with engine 16 and life squad 4"
360978999662489600,2013-07-27 04:24:34,"TPD - fight, 1400 block south ave, male and female fighting in the middle of the street"
360978861929930754,2013-07-27 04:24:02,"TPD - gunshots heard, 2200 block robinwood ave"
360978213134008320,2013-07-27 04:21:27,"TPD/TFD - injuries from an assault, arlington ave and woodsdale ave"
360977208984076288,2013-07-27 04:17:27,"TPD - foot pursuit, south channel crew has one running on toronto ave"
360974438369468417,2013-07-27 04:06:27,"TPD - reckless driver, w laskey rd and secor rd"
